id	stage	goals	team	opponent	year	host	GDP	max1	max2	odds	population	age	market_value	FIFA_rank	FIFA_points	UEFA_rank	UEFA_points	CL_players	EL_players	vicinity	age_coach	nationality_coach	foreigners	host_opponent	GDP_opponent	max1_opponent	max2_opponent	odds_opponent	population_opponent	age_opponent	market_value_opponent	FIFA_rank_opponent	FIFA_points_opponent	UEFA_rank_opponent	UEFA_points_opponent	CL_players_opponent	EL_players_opponent	vicinity_opponent	age_coach_opponent	nationality_coach_opponent	foreigners_opponent	phase
27	final	0	Netherlands	Sweden	2004	0	37458	6	3	5.5	16.60409762	28.4	10.05	4	744	8	34.081	0	0	0	56	1	17	0	40261	2	2	20	16.01002814	27.3	4.32	21	660	24	16.716	0	0	0	55	1	18	ko
28	final	3	Czech Republic	Denmark	2004	0	10721	2	2	7	16.13902069	26.8	6.36	10	720	9	33.075	1	1	0	64	1	20	0	45282	2	2	20	15.50147238	26.9	4.18	14	700	22	17.45	1	0	0	54	1	20	ko
28	final	0	Denmark	Czech Republic	2004	0	45282	2	2	20	15.50147238	26.9	4.18	14	700	22	17.45	1	0	0	54	1	20	0	10721	2	2	7	16.13902069	26.8	6.36	10	720	9	33.075	1	1	0	64	1	20	ko
29	final	2	Portugal	Netherlands	2004	1	17654	6	4	6	16.16447195	26.8	11.07	20	662	6	42.333	6	0	1	55	0	10	0	37458	6	3	5.5	16.60409762	28.4	10.05	4	744	8	34.081	0	0	0	56	1	17	ko
29	final	1	Netherlands	Portugal	2004	0	37458	6	3	5.5	16.60409762	28.4	10.05	4	744	8	34.081	0	0	0	56	1	17	1	17654	6	4	6	16.16447195	26.8	11.07	20	662	6	42.333	6	0	1	55	0	10	ko
30	final	1	Greece	Czech Republic	2004	0	20607	5	4	45	16.21709447	28.4	3.22	34	638	7	34.748	0	0	0	65	0	11	0	10721	2	2	7	16.13902069	26.8	6.36	10	720	9	33.075	1	1	0	64	1	20	ko
30	final	0	Czech Republic	Greece	2004	0	10721	2	2	7	16.13902069	26.8	6.36	10	720	9	33.075	1	1	0	64	1	20	0	20607	5	4	45	16.21709447	28.4	3.22	34	638	7	34.748	0	0	0	65	0	11	ko
31	final	0	Portugal	Greece	2004	1	17654	6	4	6	16.16447195	26.8	11.07	20	662	6	42.333	6	0	1	55	0	10	0	20607	5	4	45	16.21709447	28.4	3.22	34	638	7	34.748	0	0	0	65	0	11	ko
31	final	1	Greece	Portugal	2004	0	20607	5	4	45	16.21709447	28.4	3.22	34	638	7	34.748	0	0	0	65	0	11	1	17654	6	4	6	16.16447195	26.8	11.07	20	662	6	42.333	6	0	1	55	0	10	ko
32	group	0	Switzerland	Czech Republic	2008	1	65800	3	2	22	15.84280239	26	3.56	48	617	16	24.225	0	0	1	64	1	16	0	20729	3	3	15	16.15550029	28.4	4.87	6	1244	15	25.75	1	1	1	68	1	20	group
32	group	1	Czech Republic	Switzerland	2008	0	20729	3	3	15	16.15550029	28.4	4.87	6	1244	15	25.75	1	1	1	68	1	20	1	65800	3	2	22	15.84280239	26	3.56	48	617	16	24.225	0	0	1	64	1	16	group
33	group	2	Portugal	Turkey	2008	0	23716	5	3	7	16.17802121	26.5	11.84	9	1131	8	39.927	5	0	0	59	0	12	0	10298	7	5	35	18.07234601	26.4	4.64	25	856	11	31.725	0	1	0	54	1	7	group
