"team","opponent","max2","odds","market_value","FIFA_points","UEFA_rank","UEFA_points","CL_players","max2_opponent","odds_opponent","market_value_opponent","FIFA_points_opponent","UEFA_rank_opponent","UEFA_points_opponent","CL_players_opponent","result","past_scores","past_scores_opponent","GDP","GDP_opponent","population","population_opponent","t_sne_1","t_sne_2","id"
"Croatia","England",0,0.431818181818182,0.0619759387531899,0.289893617021277,0.647058823529412,0.142592151603645,0.0714285714285714,0.75,0.0392561983471074,0.41195771053591,0.342198581560284,0.0294117647058824,0.703811397846767,0.285714285714286,"loss",0.0659340659304432,0.208791208834682,0.00751871148064663,0.694813822778658,0.0158463098020443,0.368439726297412,99.2389029664012,-48.7624646250623,11
"Switzerland","France",0.25,0.586776859504132,0.0484870579657309,0.221631205673759,0.352941176470588,0.205259002093073,0,0.5,0.000516528925619833,0.428363106088225,0.435283687943262,0.117647058823529,0.530512489503303,0.285714285714286,"loss",0,1,0.17194451271371,0.750736059801287,0.0442514008954467,0.453622617069805,151.021432983916,205.32280289841,12
"Denmark","Italy",0.25,0.173553719008264,0.1093693036821,0.329787234042553,0.617647058823529,0.143532154360986,0.0714285714285714,1,0.018595041322314,0.545752825373678,0.344858156028369,0.0588235294117647,0.666624888766341,0,"draw",0.19780219779133,0.571428571452119,0.0832190015772512,0.566157726228472,0.0260045617097964,0.415228226283333,-592.779901942205,-152.073242680117,13
"Sweden","Bulgaria",0.25,0.173553719008264,0.114473204520598,0.294326241134752,0.676470588235294,0.134332660709138,0,0.75,0.586776859504132,0.040831206707984,0.25709219858156,0.558823529411765,0.175467181370399,0,"win",0.0329670329652216,0,0.146181448796479,0.00612842253244516,0.0554711936473967,0.0366485512347591,-357.823150107294,7.89882003087284,14
"Bulgaria","Denmark",0.75,0.586776859504132,0.040831206707984,0.25709219858156,0.558823529411765,0.175467181370399,0,0.25,0.173553719008264,0.1093693036821,0.329787234042553,0.617647058823529,0.143532154360986,0.0714285714285714,"loss",0,0.19780219779133,0.00612842253244516,0.0832190015772512,0.0366485512347591,0.0260045617097964,-236.642018148179,-15.0889563621607,15
"Italy","Sweden",1,0.018595041322314,0.545752825373678,0.344858156028369,0.0588235294117647,0.666624888766341,0,0.25,0.173553719008264,0.114473204520598,0.294326241134752,0.676470588235294,0.134332660709138,0,"draw",0.571428571452119,0.0329670329652216,0.566157726228472,0.146181448796479,0.415228226283333,0.0554711936473967,-616.750152960777,154.103759215346,16
"Italy","Bulgaria",1,0.018595041322314,0.545752825373678,0.344858156028369,0.0588235294117647,0.666624888766341,0,0.75,0.586776859504132,0.040831206707984,0.25709219858156,0.558823529411765,0.175467181370399,0,"win",0.571428571452119,0,0.566157726228472,0.00612842253244516,0.415228226283333,0.0366485512347591,-608.924035432868,139.278714607284,17
"Denmark","Sweden",0.25,0.173553719008264,0.1093693036821,0.329787234042553,0.617647058823529,0.143532154360986,0.0714285714285714,0.25,0.173553719008264,0.114473204520598,0.294326241134752,0.676470588235294,0.134332660709138,0,"draw",0.19780219779133,0.0329670329652216,0.0832190015772512,0.146181448796479,0.0260045617097964,0.0554711936473967,-147.357757435034,-155.443576889638,18
"Czech Republic","Latvia",0.25,0.0392561983471074,0.188844331024426,0.347517730496454,0.235294117647059,0.339366062140449,0.0714285714285714,0.5,1,0,0.197695035460993,0.882352941176471,0,0,"win",0.285714285643642,0,0.0464240558822926,0,0.0602314645341143,0,223.219646778713,-194.527756890901,19
"Germany","Netherlands",0.75,0.0392561983471074,0.221290557783449,0.350177304964539,0.0882352941176471,0.545088798927144,0,0.5,0.0237603305785124,0.323368574553409,0.368794326241135,0.205882352941176,0.351974632458922,0,"draw",0.510989010960935,0.45054945046975,1,0.213329464638894,0.559513417621716,0.105769556218849,109.698772415268,297.948163128918,20
"Latvia","Germany",0.5,1,0,0.197695035460993,0.882352941176471,0,0,0.75,0.0392561983471074,0.221290557783449,0.350177304964539,0.0882352941176471,0.545088798927144,0,"draw",0,0.510989010960935,0,1,0,0.559513417621716,48.5739531575082,230.418751775045,21
"Netherlands","Czech Republic",0.5,0.0237603305785124,0.323368574553409,0.368794326241135,0.205882352941176,0.351974632458922,0,0.25,0.0392561983471074,0.188844331024426,0.347517730496454,0.235294117647059,0.339366062140449,0.0714285714285714,"loss",0.45054945046975,0.285714285643642,0.213329464638894,0.0464240558822926,0.105769556218849,0.0602314645341143,17.5671316661109,66.5373995352733,22
"Netherlands","Latvia",0.5,0.0237603305785124,0.323368574553409,0.368794326241135,0.205882352941176,0.351974632458922,0,0.5,1,0,0.197695035460993,0.882352941176471,0,0,"win",0.45054945046975,0,0.213329464638894,0,0.105769556218849,0,214.273885129298,-197.074383011494,23
"Germany","Czech Republic",0.75,0.0392561983471074,0.221290557783449,0.350177304964539,0.0882352941176471,0.545088798927144,0,0.25,0.0392561983471074,0.188844331024426,0.347517730496454,0.235294117647059,0.339366062140449,0.0714285714285714,"loss",0.510989010960935,0.285714285643642,1,0.0464240558822926,0.559513417621716,0.0602314645341143,117.232657815891,293.19102955375,24
"Portugal","England",0.75,0.0289256198347107,0.360554137805323,0.296099290780142,0.147058823529412,0.455400002506674,0.428571428571429,0.75,0.0392561983471074,0.41195771053591,0.342198581560284,0.0294117647058824,0.703811397846767,0.285714285714286,"draw",0.417582417504528,0.208791208834682,0.0524323676576405,0.694813822778658,0.0586545771970828,0.368439726297412,114.321920169746,-212.160683279896,25
