season,matchday,match,home,guest,homegoals,guestgoals
2014/15,4,2,FC Schalke 04,Eintracht Frankfurt,2,2
2014/15,4,3,FC Augsburg,Werder Bremen,4,2
2014/15,4,4,VfB Stuttgart,TSG Hoffenheim,0,2
2014/15,4,5,Hamburger SV,Bayern München,0,0
2014/15,4,6,SC Paderborn 07,Hannover 96,2,0
2014/15,4,7,1. FSV Mainz 05,Borussia Dortmund,2,0
2014/15,4,8,VfL Wolfsburg,Bayer 04 Leverkusen,4,1
2014/15,4,9,1. FC Köln,Bor. Mönchengladbach,0,0
2014/15,3,1,Bayer 04 Leverkusen,Werder Bremen,3,3
2014/15,3,2,Bayern München,VfB Stuttgart,2,0
2014/15,3,3,Borussia Dortmund,SC Freiburg,3,1
2014/15,3,4,TSG Hoffenheim,VfL Wolfsburg,1,1
2014/15,3,5,Hertha BSC,1. FSV Mainz 05,1,3
2014/15,3,6,SC Paderborn 07,1. FC Köln,0,0
2014/15,3,7,Bor. Mönchengladbach,FC Schalke 04,4,1
2014/15,3,8,Eintracht Frankfurt,FC Augsburg,0,1
2014/15,3,9,Hannover 96,Hamburger SV,2,0
2014/15,2,1,FC Augsburg,Borussia Dortmund,2,3
2014/15,2,2,Bayer 04 Leverkusen,Hertha BSC,4,2
2014/15,2,3,VfL Wolfsburg,Eintracht Frankfurt,2,2
2014/15,2,4,Werder Bremen,TSG Hoffenheim,1,1
2014/15,2,5,VfB Stuttgart,1. FC Köln,0,2
2014/15,2,6,Hamburger SV,SC Paderborn 07,0,3
2014/15,2,7,FC Schalke 04,Bayern München,1,1
2014/15,2,8,1. FSV Mainz 05,Hannover 96,0,0
2014/15,2,9,SC Freiburg,Bor. Mönchengladbach,0,0
2014/15,1,1,Bayern München,VfL Wolfsburg,2,1
2014/15,1,2,TSG Hoffenheim,FC Augsburg,2,0
2014/15,1,3,Hannover 96,FC Schalke 04,2,1
2014/15,1,4,Hertha BSC,Werder Bremen,2,2
2014/15,1,5,Eintracht Frankfurt,SC Freiburg,1,0
2014/15,1,6,1. FC Köln,Hamburger SV,0,0
2014/15,1,7,Borussia Dortmund,Bayer 04 Leverkusen,0,2
2014/15,1,8,SC Paderborn 07,1. FSV Mainz 05,2,2
2014/15,1,9,Bor. Mönchengladbach,VfB Stuttgart,1,1
2013/14,34,1,Bayern München,VfB Stuttgart,1,0
2013/14,34,2,FC Schalke 04,1. FC Nürnberg,4,1
2013/14,34,3,Bayer 04 Leverkusen,Werder Bremen,2,1
2013/14,34,4,Hannover 96,SC Freiburg,3,2
2013/14,34,5,VfL Wolfsburg,Bor. Mönchengladbach,3,1
2013/14,34,6,TSG Hoffenheim,Eintracht Braunschweig,3,1
2013/14,34,7,1. FSV Mainz 05,Hamburger SV,3,2
2013/14,34,8,FC Augsburg,Eintracht Frankfurt,2,1
2013/14,34,9,Hertha BSC,Borussia Dortmund,0,4
2013/14,33,1,Borussia Dortmund,TSG Hoffenheim,3,2
2013/14,33,2,Bor. Mönchengladbach,1. FSV Mainz 05,3,1
2013/14,33,3,VfB Stuttgart,VfL Wolfsburg,1,2
2013/14,33,4,Werder Bremen,Hertha BSC,2,0
2013/14,33,5,1. FC Nürnberg,Hannover 96,0,2
2013/14,33,6,SC Freiburg,FC Schalke 04,0,2
2013/14,33,7,Hamburger SV,Bayern München,1,4
2013/14,33,8,Eintracht Braunschweig,FC Augsburg,0,1
2013/14,33,9,Eintracht Frankfurt,Bayer 04 Leverkusen,0,2
2013/14,32,1,Hannover 96,VfB Stuttgart,0,0
2013/14,32,2,Bayern München,Werder Bremen,5,2
2013/14,32,3,VfL Wolfsburg,SC Freiburg,2,2
2013/14,32,4,TSG Hoffenheim,Eintracht Frankfurt,0,0
2013/14,32,5,1. FSV Mainz 05,1. FC Nürnberg,2,0
2013/14,32,6,Hertha BSC,Eintracht Braunschweig,2,0
2013/14,32,7,Bayer 04 Leverkusen,Borussia Dortmund,2,2
2013/14,32,8,FC Augsburg,Hamburger SV,3,1
2013/14,32,9,FC Schalke 04,Bor. Mönchengladbach,0,1
2013/14,31,1,Eintracht Frankfurt,Hannover 96,2,3
2013/14,31,2,Borussia Dortmund,1. FSV Mainz 05,4,2
2013/14,31,3,Werder Bremen,TSG Hoffenheim,3,1
2013/14,31,4,SC Freiburg,Bor. Mönchengladbach,4,2
2013/14,31,5,FC Augsburg,Hertha BSC,0,0
2013/14,31,6,Eintracht Braunschweig,Bayern München,0,2
2013/14,31,7,Hamburger SV,VfL Wolfsburg,1,3
